id,brand,model,price_pkr,price_usd,ram_gb,storage_gb,processor,display,camera,battery,os,market_status,rating,num_reviews,popularity_score,release_year,rag_content
1011,Honor,Honor X5 Plus Ultra,294999,1059.24,3,32,Snapdragon 7 Gen 3,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, MagicOS 7.1",Available,3.4,897,77.0,2026,"Mobile Model: Honor X5 Plus Ultra
Brand: Honor
Official Price: Rs. 294,999
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 13, MagicOS 7.1
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1012,Oppo,Oppo A58 Pro+,212000,761.22,8,128,Dimensity 7050,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 14, ColorOS 14",Available,4.9,165,53.9,2023,"Mobile Model: Oppo A58 Pro+
Brand: Oppo
Official Price: Rs. 212,000
Status: Available
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Dimensity 7050
Operating System: Android 14, ColorOS 14
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1013,Infinix,Infinix Note 30 VIP Pro+,111999,402.15,8,128,Helio G99 Ultimate,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 14, XOS 14",Discontinued,4.6,1425,97.3,2021,"Mobile Model: Infinix Note 30 VIP Pro+
Brand: Infinix
Official Price: Rs. 111,999
Status: Discontinued
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Helio G99 Ultimate
Operating System: Android 14, XOS 14
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1014,Tecno,Tecno Spark 20 Pro Prime,92000,330.34,8,128,Helio G99 Ultimate,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, HIOS 13",Available,3.7,1295,62.2,2026,"Mobile Model: Tecno Spark 20 Pro Prime
Brand: Tecno
Official Price: Rs. 92,000
Status: Available
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Helio G99 Ultimate
Operating System: Android 13, HIOS 13
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1015,Sparx,Sparx Neo 7 Plus,53999,193.89,6,128,Unisoc T606,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,6000 mAh (non-removable) with 70W Fast Charging,Android 13,Upcoming,3.7,631,92.6,2023,"Mobile Model: Sparx Neo 7 Plus
Brand: Sparx
Official Price: Rs. 53,999
Status: Upcoming
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Unisoc T606
Operating System: Android 13
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1016,Oppo,Oppo A58,303999,1091.56,8,512,Snapdragon 778G,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 13, ColorOS 13.1",Available,3.7,894,58.4,2024,"Mobile Model: Oppo A58
Brand: Oppo
Official Price: Rs. 303,999
Status: Available
RAM & Storage: 8GB RAM / 512GB Internal Storage
Processor: Snapdragon 778G
Operating System: Android 13, ColorOS 13.1
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1017,Oppo,Oppo Reno 11 Neo,253999,912.03,16,512,Dimensity 7050,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 14, ColorOS 14",Available,3.9,808,92.3,2022,"Mobile Model: Oppo Reno 11 Neo
Brand: Oppo
Official Price: Rs. 253,999
Status: Available
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Dimensity 7050
Operating System: Android 14, ColorOS 14
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1018,Samsung,Samsung Galaxy Z Flip Prime,283999,1019.75,8,512,Snapdragon 778G,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,5400 mAh (non-removable) with 120W FlashCharge,"Android 12, One UI 4.1",Available,4.2,136,50.7,2024,"Mobile Model: Samsung Galaxy Z Flip Prime
Brand: Samsung
Official Price: Rs. 283,999
Status: Available
RAM & Storage: 8GB RAM / 512GB Internal Storage
Processor: Snapdragon 778G
Operating System: Android 12, One UI 4.1
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 5400 mAh (non-removable) with 120W FlashCharge
Source: WhatMobile Pakistan Realtime Catalog"
1019,Sparx,Sparx Neo 7 Play,45999,165.17,4,64,Unisoc T606,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5400 mAh (non-removable) with 120W FlashCharge,Android 12,Available,4.0,1389,75.3,2025,"Mobile Model: Sparx Neo 7 Play
Brand: Sparx
Official Price: Rs. 45,999
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Unisoc T606
Operating System: Android 12
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5400 mAh (non-removable) with 120W FlashCharge
Source: WhatMobile Pakistan Realtime Catalog"
1020,Tecno,Tecno Phantom X2 Pro SE,238000,854.58,6,64,Helio G99 Ultimate,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 13, HIOS 13",Available,3.8,1308,88.1,2023,"Mobile Model: Tecno Phantom X2 Pro SE
Brand: Tecno
Official Price: Rs. 238,000
Status: Available
RAM & Storage: 6GB RAM / 64GB Internal Storage
Processor: Helio G99 Ultimate
Operating System: Android 13, HIOS 13
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1021,Tecno,Tecno Camon 30 5G Play,91000,326.75,3,32,Helio G85,"6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 13, HIOS 13",Upcoming,4.3,630,96.3,2024,"Mobile Model: Tecno Camon 30 5G Play
Brand: Tecno
Official Price: Rs. 91,000
Status: Upcoming
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Helio G85
Operating System: Android 13, HIOS 13
Display: 6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1022,Tecno,Tecno Spark 20 Plus,165000,592.46,12,256,Dimensity 7020,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 14, HIOS 14",Available,3.6,256,95.0,2022,"Mobile Model: Tecno Spark 20 Plus
Brand: Tecno
Official Price: Rs. 165,000
Status: Available
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Dimensity 7020
Operating System: Android 14, HIOS 14
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1023,OnePlus,OnePlus Nord N20 SE Prime,67000,240.57,4,64,Snapdragon 782G,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 14, OxygenOS 14",Upcoming,3.8,859,90.6,2024,"Mobile Model: OnePlus Nord N20 SE Prime
Brand: OnePlus
Official Price: Rs. 67,000
Status: Upcoming
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Snapdragon 782G
Operating System: Android 14, OxygenOS 14
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1024,Xiaomi,Xiaomi Xiaomi 13T 2024,366999,1317.77,3,32,Dimensity 8300-Ultra,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 14, HyperOS",Upcoming,3.9,461,94.0,2023,"Mobile Model: Xiaomi Xiaomi 13T 2024
Brand: Xiaomi
Official Price: Rs. 366,999
Status: Upcoming
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Dimensity 8300-Ultra
Operating System: Android 14, HyperOS
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1025,Xiaomi,Xiaomi POCO C65 Pro+,235999,847.39,8,256,MediaTek Helio G99-Ultra,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 12, MIUI 13",Available,4.1,941,59.9,2023,"Mobile Model: Xiaomi POCO C65 Pro+
Brand: Xiaomi
Official Price: Rs. 235,999
Status: Available
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: MediaTek Helio G99-Ultra
Operating System: Android 12, MIUI 13
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1026,Google,Google Pixel 5 2022,143000,513.46,4,64,Google Tensor G2,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,7000 mAh (non-removable) with 33W Fast Charging,Android 11,Coming Soon,4.6,1282,64.1,2023,"Mobile Model: Google Pixel 5 2022
Brand: Google
Official Price: Rs. 143,000
Status: Coming Soon
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Google Tensor G2
Operating System: Android 11
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1027,Huawei,Huawei Nova 11i Pro,174000,624.78,16,1024,Kirin 8000,"6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 67W Fast Charging,EMUI 14.2 / HarmonyOS 4.2,Coming Soon,3.7,531,64.3,2022,"Mobile Model: Huawei Nova 11i Pro
Brand: Huawei
Official Price: Rs. 174,000
Status: Coming Soon
RAM & Storage: 16GB RAM / 1TB Internal Storage
Processor: Kirin 8000
Operating System: EMUI 14.2 / HarmonyOS 4.2
Display: 6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1028,Apple,Apple iPhone 15 Pro 2021,275000,987.43,3,32,Apple A12 Bionic,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,5000 mAh (non-removable) with 45W Fast Charging,iOS 16,Discontinued,4.2,1176,68.7,2025,"Mobile Model: Apple iPhone 15 Pro 2021
Brand: Apple
Official Price: Rs. 275,000
Status: Discontinued
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Apple A12 Bionic
Operating System: iOS 16
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1029,Vivo,Vivo X100 Pro Max,215999,775.58,16,1024,Snapdragon 6 Gen 1,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 14, Funtouch 14",Available,4.3,373,69.5,2023,"Mobile Model: Vivo X100 Pro Max
Brand: Vivo
Official Price: Rs. 215,999
Status: Available
RAM & Storage: 16GB RAM / 1TB Internal Storage
Processor: Snapdragon 6 Gen 1
Operating System: Android 14, Funtouch 14
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1030,Infinix,Infinix Hot 40 5G,48000,172.35,3,32,Dimensity 8050,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 12, XOS 10.6",Available,3.5,19,77.0,2023,"Mobile Model: Infinix Hot 40 5G
Brand: Infinix
Official Price: Rs. 48,000
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Dimensity 8050
Operating System: Android 12, XOS 10.6
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1031,Dcode,Dcode Cygnal 2 Pro,21999,78.99,3,32,Helio G85,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,Android 14,Available,4.3,489,57.9,2024,"Mobile Model: Dcode Cygnal 2 Pro
Brand: Dcode
Official Price: Rs. 21,999
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Helio G85
Operating System: Android 14
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
